cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_ndex
1087.99,2.55586,28276.1,1066.79,0.601396
1087.88,2.55729,27243.3,1066.76,0.594117
1087.1,2.55694,27856,1065.63,0.609123
1087.31,2.55059,27528.2,1065.34,0.555115
1087.55,2.54223,27529.2,1066.52,0.555448
1087.34,2.53893,27605.7,1066.08,0.542512
1087.15,2.54619,27313.4,1068.42,0.565639
1087.21,2.54634,27430.1,1069.73,0.538074
1088.29,2.54517,27568.2,1070.3,0.56331
1088.44,2.53184,27450.8,1069.98,0.554448
1088.04,2.52766,27362.6,1069.27,0.56946
1088.03,2.55066,27448.5,1070.35,0.615035
1088.19,2.55414,27439.7,1069.75,0.592318
1087.36,2.52659,27343.2,1069.61,0.58975
1088.24,2.57012,27589.9,1070.19,0.596619
1088.44,2.5791,28296.1,1068.4,0.552111
1087.99,2.55061,29027,1067.14,0.504002
1087.37,2.52504,27188.5,1068.46,0.535734
1086.41,2.52259,27099.3,1068.06,0.576485
1088.19,2.52647,27139.3,1069.97,0.603221
1089.82,2.57831,27027.5,1068.94,0.546007
1086.72,2.58428,27531,1065.53,0.52999
1087.38,2.55724,27171.5,1066.33,0.526655
1087.27,2.51987,27792.8,1067.63,0.561769
1086.71,2.51691,27770.6,1067.17,0.565498
1086.8,2.52981,27684.6,1066.71,0.58506
1087.49,2.53731,27887.2,1066.78,0.574086
1087.52,2.54241,28905.1,1066.62,0.570812
1087.37,2.54318,28881.5,1065.65,0.559885
1088.1,2.53243,28209.3,1065.36,0.513406
1087.15,2.52728,27910.1,1064.31,0.510809
1086.77,2.52158,28212.7,1065.56,0.543331
1087.26,2.51945,27181.2,1067.4,0.50918
1085.65,2.51287,27049.1,1067.7,0.548799
1087.71,2.53658,27040.1,1068.75,0.578657
1087.59,2.53509,27052.7,1070.31,0.600184
1087.83,2.53309,27006.2,1069.47,0.597179
1087.95,2.57256,27251.7,1070.05,0.592709
1089.05,2.58486,27366.4,1069.35,0.542466
1088.11,2.55765,27387.6,1067.53,0.512131
1086.94,2.53499,27145.9,1066.25,0.520266
1085.85,2.52235,27187.9,1068.19,0.568728
1087.64,2.52387,27148.2,1070.44,0.613458
1088.29,2.57667,27473.7,1069.87,0.579605
1087.8,2.58526,27478.1,1067.11,0.559395
1088.72,2.55658,27364.1,1067.25,0.53803
1087.13,2.51533,27404.1,1067.27,0.587927
1086.72,2.53283,27586.6,1067.23,0.565025
1085.89,2.54496,27669.9,1067.14,0.575328
1087.69,2.55089,28426.6,1067.14,0.56275
1087.92,2.5517,28586.7,1067.31,0.562155
1088.31,2.56296,28967.7,1067.2,0.540814
1087.62,2.53895,28695.7,1066.78,0.551616
1086.55,2.53481,28327.5,1066.72,0.576029
1088.31,2.54508,27361.1,1066.46,0.574314
1088.12,2.55483,27228.9,1066.67,0.5617
1088.06,2.55486,27183.4,1070.36,0.543703
1087.39,2.52537,27083,1071.21,0.57226
1088.64,2.57234,27486.4,1069.62,0.569059
1089.39,2.58418,27645,1068.3,0.559356
1088.19,2.55642,27537.5,1066.76,0.52551
1088.44,2.53192,27405.1,1067.23,0.517843
1087.03,2.5236,27226,1066.23,0.56309
1089.5,2.53643,27372.2,1068.31,0.553288
1088.92,2.57601,27299.5,1067.02,0.538389
1089.15,2.58615,27690.9,1067.25,0.537715
1089.53,2.56727,28284.5,1067.19,0.528952
1088.72,2.55135,27840,1068.41,0.505161
1088.15,2.54281,29151.5,1069.77,0.571683
1086.89,2.54705,29869.2,1068.93,0.566107
1086.95,2.55096,28797,1067.54,0.570358
1088.25,2.55177,28952.2,1067.93,0.578072
1087.93,2.55316,28977.9,1067.95,0.580664
1089.21,2.56674,28708.5,1069.3,0.565014
1088.9,2.57101,28683.6,1068.91,0.565316
1088.94,2.57025,28496.8,1068.25,0.559874
1089.9,2.57224,27775.4,1068.65,0.54595
1089.43,2.57231,27446.9,1067.8,0.527874
1089.6,2.564,27380.1,1067.35,0.513825
1088.75,2.53948,27384.9,1067.5,0.529144
1089.93,2.53731,27049.5,1067.71,0.552131
1089.79,2.54179,27488,1069.25,0.562638
1091.59,2.57598,27250,1070.01,0.559152
1091.06,2.59096,27363.2,1068.65,0.563876
1089.75,2.54512,29824.5,1069.67,0.589717
1088.75,2.52906,28444.9,1069.1,0.608825
1091.32,2.52404,27942,1068.7,0.597207
1088.9,2.54861,28488,1066.96,0.53017
1089.57,2.54148,30000,1069.1,0.533471
1090.17,2.53493,28932.1,1070.82,0.5665
1088.93,2.55087,28910,1070.85,0.560515
1087.96,2.54957,28966.3,1070.23,0.555106
1088.09,2.54214,27892.5,1070.46,0.556253
1089.05,2.55199,28513.4,1071.17,0.566023
1088.27,2.55344,28921.5,1070.36,0.547676
1089.02,2.55444,27839,1067.83,0.535931
1088.74,2.55314,27825,1067.49,0.549457
1088.07,2.52215,27729.2,1067.87,0.530464
1089.3,2.52819,27742.2,1069.59,0.571025
1089.31,2.57159,28169.5,1069.92,0.607783
1089.72,2.57838,28007.3,1068.37,0.57499
1091.22,2.56591,27701.9,1068.71,0.545365
1089.2,2.53055,27107.7,1068.4,0.586657
1088.3,2.51988,27335,1068.6,0.572956
1089.57,2.53159,27150.6,1069.81,0.629605
1089.89,2.57247,27993.7,1068.83,0.60935
1089.37,2.58088,28050.4,1067.63,0.590075
1089.62,2.56348,28772.4,1067.18,0.553624
1087.92,2.53747,28071.3,1066.42,0.518698
1089.27,2.53951,28725.6,1068,0.521607
1088.66,2.53569,28348.6,1067.62,0.547193
1088.19,2.5333,28739.6,1067.92,0.548732
1087.94,2.52863,28509.1,1068.34,0.601965
1089.23,2.53449,28089.3,1069.33,0.620177
1089.85,2.53541,28556.3,1069.95,0.615022
1088.26,2.52886,28133.1,1068.48,0.619415
1089.86,2.53856,28507,1070.58,0.589317
1089.87,2.54044,27457.3,1070.33,0.605801
1089.7,2.54022,27058.8,1070.01,0.580614
1088.87,2.54083,27053.9,1069.42,0.592313
1089.4,2.54259,27712.1,1069.74,0.569429
1089.82,2.52566,28023.9,1070.36,0.596509
1088.9,2.51937,27296.6,1069.76,0.593857
1090.58,2.56517,28278.1,1070.86,0.596342
1090.85,2.58541,28359.9,1070.13,0.577236
1088.9,2.54668,28648.3,1067.27,0.537656
1088.49,2.52324,27166.1,1068.61,0.53497
1087.67,2.51697,27596.6,1068.61,0.578758
1088.43,2.51421,27153.8,1069.87,0.604273
1089.82,2.57308,27751,1070.08,0.606529
