CW PUMP 1A WATT METER,CW PUMP 1A DISCH PRESS,RETURN CW FLOW,CW PUMP 1B WATT METER,CWP-1A MOTOR NDE-BRG VIB Y-AXIS
1088.45,2.57527,28025.9,1068.1,0.530159
1087.18,2.54545,28315.1,1065.45,0.546339
1087.99,2.55586,28276.1,1066.79,0.547953
1087.88,2.55729,27243.3,1066.76,0.558409
1087.1,2.55694,27856,1065.63,0.562687
1087.31,2.55059,27528.2,1065.34,0.516336
1087.55,2.54223,27529.2,1066.52,0.51585
1087.34,2.53893,27605.7,1066.08,0.516808
1087.15,2.54619,27313.4,1068.42,0.523501
1087.21,2.54634,27430.1,1069.73,0.511542
1088.29,2.54517,27568.2,1070.3,0.522439
1088.44,2.53184,27450.8,1069.98,0.550049
1088.04,2.52766,27362.6,1069.27,0.53127
1088.03,2.55066,27448.5,1070.35,0.549432
1088.19,2.55414,27439.7,1069.75,0.568
1087.36,2.52659,27343.2,1069.61,0.559456
1088.24,2.57012,27589.9,1070.19,0.539554
1088.44,2.5791,28296.1,1068.4,0.519102
1087.99,2.55061,29027,1067.14,0.493477
1087.37,2.52504,27188.5,1068.46,0.546253
1086.41,2.52259,27099.3,1068.06,0.555021
1088.19,2.52647,27139.3,1069.97,0.535182
1089.82,2.57831,27027.5,1068.94,0.543053
1086.72,2.58428,27531,1065.53,0.500922
1087.38,2.55724,27171.5,1066.33,0.495256
1087.27,2.51987,27792.8,1067.63,0.518248
1086.71,2.51691,27770.6,1067.17,0.530156
1086.8,2.52981,27684.6,1066.71,0.554825
1087.49,2.53731,27887.2,1066.78,0.546113
1087.52,2.54241,28905.1,1066.62,0.569826
1087.37,2.54318,28881.5,1065.65,0.505884
1088.1,2.53243,28209.3,1065.36,0.491532
1087.15,2.52728,27910.1,1064.31,0.517477
1086.77,2.52158,28212.7,1065.56,0.525454
1087.26,2.51945,27181.2,1067.4,0.492625
1085.65,2.51287,27049.1,1067.7,0.520153
1087.71,2.53658,27040.1,1068.75,0.549636
1087.59,2.53509,27052.7,1070.31,0.575096
1087.83,2.53309,27006.2,1069.47,0.545215
1087.95,2.57256,27251.7,1070.05,0.542046
1089.05,2.58486,27366.4,1069.35,0.507894
1088.11,2.55765,27387.6,1067.53,0.487371
