cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_dex
1086.94,2.53499,27145.9,1066.25,0.48664
1085.85,2.52235,27187.9,1068.19,0.526925
1087.64,2.52387,27148.2,1070.44,0.536132
1088.29,2.57667,27473.7,1069.87,0.504269
1087.8,2.58526,27478.1,1067.11,0.474738
1088.72,2.55658,27364.1,1067.25,0.485747
1087.13,2.51533,27404.1,1067.27,0.50635
1086.72,2.53283,27586.6,1067.23,0.49731
1085.89,2.54496,27669.9,1067.14,0.526077
1087.69,2.55089,28426.6,1067.14,0.479281
1087.92,2.5517,28586.7,1067.31,0.478277
1088.31,2.56296,28967.7,1067.2,0.496642
1087.62,2.53895,28695.7,1066.78,0.488749
1086.55,2.53481,28327.5,1066.72,0.523142
1088.31,2.54508,27361.1,1066.46,0.527079
1088.12,2.55483,27228.9,1066.67,0.505148
1088.06,2.55486,27183.4,1070.36,0.496542
1087.39,2.52537,27083,1071.21,0.49383
1088.64,2.57234,27486.4,1069.62,0.515916
1089.39,2.58418,27645,1068.3,0.504412
1088.19,2.55642,27537.5,1066.76,0.498671
1088.44,2.53192,27405.1,1067.23,0.495598
1087.03,2.5236,27226,1066.23,0.520881
1089.5,2.53643,27372.2,1068.31,0.512422
1088.92,2.57601,27299.5,1067.02,0.494315
1089.15,2.58615,27690.9,1067.25,0.501423
1089.53,2.56727,28284.5,1067.19,0.474667
1088.72,2.55135,27840,1068.41,0.487468
1088.15,2.54281,29151.5,1069.77,0.517275
1086.89,2.54705,29869.2,1068.93,0.482939
1086.95,2.55096,28797,1067.54,0.509075
1088.25,2.55177,28952.2,1067.93,0.540157
1087.93,2.55316,28977.9,1067.95,0.532842
1089.21,2.56674,28708.5,1069.3,0.510004
1088.9,2.57101,28683.6,1068.91,0.508886
1088.94,2.57025,28496.8,1068.25,0.514263
1089.9,2.57224,27775.4,1068.65,0.512167
1089.43,2.57231,27446.9,1067.8,0.482492
1089.6,2.564,27380.1,1067.35,0.48304
1088.75,2.53948,27384.9,1067.5,0.519694
1089.93,2.53731,27049.5,1067.71,0.527275
1089.79,2.54179,27488,1069.25,0.527977
1091.59,2.57598,27250,1070.01,0.497791
1091.06,2.59096,27363.2,1068.65,0.532035
1089.75,2.54512,29824.5,1069.67,0.501878
1088.75,2.52906,28444.9,1069.1,0.536831
1091.32,2.52404,27942,1068.7,0.518026
1088.9,2.54861,28488,1066.96,0.487833
1089.57,2.54148,30000,1069.1,0.510745
1090.17,2.53493,28932.1,1070.82,0.523992
1088.93,2.55087,28910,1070.85,0.545816
1087.96,2.54957,28966.3,1070.23,0.504597
1088.09,2.54214,27892.5,1070.46,0.528427
1089.05,2.55199,28513.4,1071.17,0.527292
1088.27,2.55344,28921.5,1070.36,0.51456
1089.02,2.55444,27839,1067.83,0.511943
1088.74,2.55314,27825,1067.49,0.494381
1088.07,2.52215,27729.2,1067.87,0.511846
1089.3,2.52819,27742.2,1069.59,0.518576
1089.31,2.57159,28169.5,1069.92,0.543551
1089.72,2.57838,28007.3,1068.37,0.533316
1091.22,2.56591,27701.9,1068.71,0.498439
1089.2,2.53055,27107.7,1068.4,0.514243
1088.3,2.51988,27335,1068.6,0.527768
1089.57,2.53159,27150.6,1069.81,0.51595
1089.89,2.57247,27993.7,1068.83,0.52617
1089.37,2.58088,28050.4,1067.63,0.519899
1089.62,2.56348,28772.4,1067.18,0.515198
1087.92,2.53747,28071.3,1066.42,0.473385
1089.27,2.53951,28725.6,1068,0.478711
1088.66,2.53569,28348.6,1067.62,0.492163
1088.19,2.5333,28739.6,1067.92,0.513647
1087.94,2.52863,28509.1,1068.34,0.520735
1089.23,2.53449,28089.3,1069.33,0.526891
1089.85,2.53541,28556.3,1069.95,0.550005
1088.26,2.52886,28133.1,1068.48,0.542566
1089.86,2.53856,28507,1070.58,0.53679
1089.87,2.54044,27457.3,1070.33,0.532
1089.7,2.54022,27058.8,1070.01,0.543012
1088.87,2.54083,27053.9,1069.42,0.537167
1089.4,2.54259,27712.1,1069.74,0.53343
1089.82,2.52566,28023.9,1070.36,0.536927
1088.9,2.51937,27296.6,1069.76,0.529657
1090.58,2.56517,28278.1,1070.86,0.522358
1090.85,2.58541,28359.9,1070.13,0.514144
1088.9,2.54668,28648.3,1067.27,0.47691
1088.49,2.52324,27166.1,1068.61,0.485627
1087.67,2.51697,27596.6,1068.61,0.510516
1088.43,2.51421,27153.8,1069.87,0.510466
1089.82,2.57308,27751,1070.08,0.522122
1089.56,2.58881,27996.6,1068.39,0.484871
1088.77,2.55566,28200.3,1067.09,0.471469
1088.28,2.53042,28041,1069.02,0.504066
1088.73,2.52773,28066.9,1070.05,0.509757
1088.58,2.52692,28061.4,1069.87,0.520052
1087.95,2.53325,28505.9,1068.75,0.53557
1087.98,2.54819,28274,1069.79,0.518293
1087.63,2.53678,28549.7,1069.42,0.517343
1088.41,2.53983,27934.7,1070.31,0.542702
1087.37,2.54741,27987.2,1068.54,0.502048
1088.11,2.55009,28084.8,1069.37,0.512938
1088.47,2.55139,27455.9,1070.89,0.508847
1088.45,2.55324,27435.8,1071.33,0.520059
1088.23,2.54155,27185.7,1070.51,0.500484
1087.81,2.53076,27038.8,1070.62,0.553898
1087.41,2.54062,27134.4,1070.98,0.558088
1087.7,2.54153,27142,1070.43,0.534372
1089.29,2.57383,27494.4,1071.23,0.506945
